Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/06/2020 03:00,67803,3212,64014,2020-04-06 18:00:00,577,58500000,31.1517252,112.8783222
Beijing,China,04/06/2020 03:00,587,8,443,2020-04-06 18:00:00,136,21540000,39.906217,116.3912757
Shanghai,China,04/06/2020 03:00,536,6,383,2020-04-06 18:00:00,147,24280000,31.2252985,121.4890497
Guangdong,China,04/06/2020 03:00,1532,8,1395,2020-04-06 18:00:00,129,113460000,23.1357694,113.1982688
Fujian,China,04/06/2020 03:00,350,1,305,2020-04-06 18:00:00,44,38560000,26.5450001,117.842778
Zhejiang,China,04/06/2020 03:00,1264,1,1230,2020-04-06 18:00:00,33,57370000,29.0000001,119.9999999
Tianjin,China,04/06/2020 03:00,180,3,144,2020-04-06 18:00:00,33,15621200,39.1235635,117.1980785
Inner Mongolia,China,04/06/2020 03:00,118,1,74,2020-04-06 18:00:00,43,24710000,43.2443242,114.3251664
Shandong,China,04/06/2020 03:00,780,7,755,2020-04-06 18:00:00,18,100472400,36.0000001,118.9999999
Jiangsu,China,04/06/2020 03:00,651,0,633,2020-04-06 18:00:00,18,80400000,33.0000001,119.9999999
Sichuan,China,04/06/2020 03:00,559,3,540,2020-04-06 18:00:00,16,81100000,30.5000001,102.4999999
Gansu,China,04/06/2020 03:00,139,2,132,2020-04-06 18:00:00,5,25580000,38.0000001,101.9999999
Shaanxi,China,04/06/2020 03:00,256,3,246,2020-04-06 18:00:00,7,37330000,36.0,109.0
Yunnan,China,04/06/2020 03:00,184,2,172,2020-04-06 18:00:00,10,45970000,25.0,102.0
Liaoning,China,04/06/2020 03:00,142,2,128,2020-04-06 18:00:00,12,43900000,40.9739116,122.3263915
Jilin,China,04/06/2020 03:00,98,1,92,2020-04-06 18:00:00,5,27460000,42.9995032,125.9816054
Hebei,China,04/06/2020 03:00,327,6,310,2020-04-06 18:00:00,11,74700000,39.0000001,116.0
Henan,China,04/06/2020 03:00,1276,22,1252,2020-04-06 18:00:00,2,95590000,34.0000001,113.9999999
Chongqing,China,04/06/2020 03:00,579,6,570,2020-04-06 18:00:00,3,30480000,29.5585712,106.5492822
Heilongjiang,China,04/06/2020 03:00,524,13,469,2020-04-06 18:00:00,42,38310000,48.00000470000001,127.999992
Guangxi,China,04/06/2020 03:00,254,2,252,2020-04-06 18:00:00,0,48380000,24.0,109.0
Shanxi,China,04/06/2020 03:00,138,0,133,2020-04-06 18:00:00,5,36500000,37.0,112.0
Jiangxi,China,04/06/2020 03:00,937,1,935,2020-04-06 18:00:00,1,45200000,28.0,116.0
Hunan,China,04/06/2020 03:00,1019,4,1014,2020-04-06 18:00:00,1,67370000,27.6662087,111.7487063
Anhui,China,04/06/2020 03:00,990,6,984,2020-04-06 18:00:00,0,62000000,32.0,117.0
Hainan,China,04/06/2020 03:00,168,6,162,2020-04-06 18:00:00,0,9258000,19.2000001,109.5999999
Guizhou,China,04/06/2020 03:00,147,2,144,2020-04-06 18:00:00,1,34750000,27.0,107.0
Xinjiang,China,04/06/2020 03:00,76,3,73,2020-04-06 18:00:00,0,21810000,41.7574769,87.1673842
Ningxia,China,04/06/2020 03:00,75,0,75,2020-04-06 18:00:00,0,6301000,37.3095528,105.9608553
Qinghai,China,04/06/2020 03:00,18,0,18,2020-04-06 18:00:00,0,5627000,35.40709520000001,95.9521157
Tibet,China,04/06/2020 03:00,1,0,1,2020-04-06 18:00:00,0,3180000,31.8943432,87.07813709999998
New South Wales,Australia,04/06/2020 03:00,2637,18,4,2020-04-06 18:00:00,2615,7544000,-33.8548157,151.2164539
Queensland,Australia,04/06/2020 03:00,921,5,9,2020-04-06 18:00:00,907,5071000,-27.4689682,153.02349909999995
Victoria,Australia,04/06/2020 03:00,1158,10,573,2020-04-06 18:00:00,575,6359000,-37.814217600000006,144.9631608
South Australia,Australia,04/06/2020 03:00,411,0,51,2020-04-06 18:00:00,360,1677000,-34.9281805,138.5999312
Western Australia,Australia,04/06/2020 03:00,460,3,148,2020-04-06 18:00:00,309,2589000,-31.95271210000001,115.8604796
Tasmania,Australia,04/06/2020 03:00,85,2,3,2020-04-06 18:00:00,80,515000,-42.8825088,147.3281233
Australian Capital Territory,Australia,04/06/2020 03:00,96,2,28,2020-04-06 18:00:00,66,412576,-35.488350200000006,149.00269419999995
Northern Territory,Australia,04/06/2020 03:00,27,0,1,2020-04-06 18:00:00,26,211945,-12.46044,130.8410469
,Artania Cruise,04/06/2020 03:00,41,0,0,2020-04-06 18:00:00,41,1300,-32.065715000000004,115.677863
New York,US,04/06/2020 03:00,123160,4159,12977,2020-04-06 18:00:00,106024,19542200,40.7127281,-74.0060152
New Jersey,US,04/06/2020 03:00,37505,917,0,2020-04-06 18:00:00,36588,8909000,40.0757384,-74.4041622
Michigan,US,04/06/2020 03:00,15718,617,69,2020-04-06 18:00:00,15032,9996000,43.6211955,-84.6824346
California,US,04/06/2020 03:00,15158,350,278,2020-04-06 18:00:00,14530,39560000,36.7014631,-118.7559974
Louisiana,US,04/06/2020 03:00,13010,477,0,2020-04-06 18:00:00,12533,4660000,30.8703881,-92.007126
Massachusetts,US,04/06/2020 03:00,12500,231,10,2020-04-06 18:00:00,12259,6902000,42.3788774,-72.03236600000002
Florida,US,04/06/2020 03:00,12350,221,0,2020-04-06 18:00:00,12129,21300000,27.7567667,-81.4639835
Pennsylvania,US,04/06/2020 03:00,11589,151,76,2020-04-06 18:00:00,11362,12810000,40.9699889,-77.72788309999999
