Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
Hubei,China,03/24/2020 01:00,67801,3160,60323,2020-03-24 17:00:00,4318,31.151725199999998,112.87832220000001
Beijing,China,03/24/2020 01:00,537,8,401,2020-03-24 17:00:00,128,39.906217,116.3912757
Guangdong,China,03/24/2020 01:00,1415,8,1332,2020-03-24 17:00:00,75,23.135769399999997,113.19826880000001
Gansu,China,03/24/2020 01:00,136,2,114,2020-03-24 17:00:00,20,38.0000001,101.9999999
Shanghai,China,03/24/2020 01:00,404,4,329,2020-03-24 17:00:00,71,31.225298499999997,121.4890497
Sichuan,China,03/24/2020 01:00,543,3,536,2020-03-24 17:00:00,4,30.500000099999998,102.4999999
Heilongjiang,China,03/24/2020 01:00,484,13,466,2020-03-24 17:00:00,5,48.000004700000005,127.99999199999999
Zhejiang,China,03/24/2020 01:00,1238,1,1221,2020-03-24 17:00:00,16,29.000000099999998,119.9999999
Shandong,China,03/24/2020 01:00,768,7,752,2020-03-24 17:00:00,9,36.0000001,118.9999999
Shaanxi,China,03/24/2020 01:00,248,3,239,2020-03-24 17:00:00,6,36.0,109.0
Guangxi,China,03/24/2020 01:00,254,2,250,2020-03-24 17:00:00,2,24.0,109.0
Hebei,China,03/24/2020 01:00,319,6,310,2020-03-24 17:00:00,3,39.0000001,116.0
Hainan,China,03/24/2020 01:00,168,6,161,2020-03-24 17:00:00,1,19.2000001,109.5999999
Henan,China,03/24/2020 01:00,1274,22,1250,2020-03-24 17:00:00,2,34.0000001,113.9999999
Jiangsu,China,03/24/2020 01:00,633,0,631,2020-03-24 17:00:00,2,33.0000001,119.9999999
Chongqing,China,03/24/2020 01:00,577,6,570,2020-03-24 17:00:00,1,29.5585712,106.5492822
Guizhou,China,03/24/2020 01:00,146,2,144,2020-03-24 17:00:00,0,27.0,107.0
Tianjin,China,03/24/2020 01:00,141,3,133,2020-03-24 17:00:00,5,39.1235635,117.1980785
Jilin,China,03/24/2020 01:00,93,1,92,2020-03-24 17:00:00,0,42.9995032,125.9816054
Hunan,China,03/24/2020 01:00,1018,4,1014,2020-03-24 17:00:00,0,27.6662087,111.74870630000001
Anhui,China,03/24/2020 01:00,990,6,984,2020-03-24 17:00:00,0,32.0,117.0
Jiangxi,China,03/24/2020 01:00,936,1,934,2020-03-24 17:00:00,1,28.0,116.0
Fujian,China,03/24/2020 01:00,313,1,295,2020-03-24 17:00:00,17,26.5450001,117.84277800000001
Yunnan,China,03/24/2020 01:00,176,2,172,2020-03-24 17:00:00,2,25.0,102.0
Shanxi,China,03/24/2020 01:00,133,0,133,2020-03-24 17:00:00,0,37.0,112.0
Liaoning,China,03/24/2020 01:00,127,2,124,2020-03-24 17:00:00,1,40.9739116,122.3263915
Xinjiang,China,03/24/2020 01:00,76,3,73,2020-03-24 17:00:00,0,41.7574769,87.1673842
Ningxia,China,03/24/2020 01:00,75,0,75,2020-03-24 17:00:00,0,37.3095528,105.9608553
Inner Mongolia,China,03/24/2020 01:00,75,1,74,2020-03-24 17:00:00,0,43.2443242,114.32516640000001
Qinghai,China,03/24/2020 01:00,18,0,18,2020-03-24 17:00:00,0,35.40709520000001,95.95211570000001
Tibet,China,03/24/2020 01:00,1,0,1,2020-03-24 17:00:00,0,31.894343199999998,87.07813709999999
New South Wales,Australia,03/24/2020 01:00,818,5,4,2020-03-24 17:00:00,809,-33.8548157,151.2164539
Queensland,Australia,03/24/2020 01:00,397,1,9,2020-03-24 17:00:00,387,-27.468968199999996,153.02349909999998
Victoria,Australia,03/24/2020 01:00,411,0,97,2020-03-24 17:00:00,314,-37.814217600000006,144.9631608
South Australia,Australia,03/24/2020 01:00,134,0,6,2020-03-24 17:00:00,128,-34.928180499999996,138.5999312
Western Australia,Australia,03/24/2020 01:00,140,1,1,2020-03-24 17:00:00,138,-31.952712100000003,115.86047959999999
Tasmania,Australia,03/24/2020 01:00,28,0,3,2020-03-24 17:00:00,25,-42.8825088,147.3281233
Australian Capital Territory,Australia,03/24/2020 01:00,39,0,1,2020-03-24 17:00:00,38,-35.488350200000006,149.00269419999998
Northern Territory,Australia,03/24/2020 01:00,5,0,0,2020-03-24 17:00:00,5,-12.46044,130.8410469
New York,US,03/24/2020 01:00,23230,184,0,2020-03-24 17:00:00,23046,40.7127281,-74.0060152
New Jersey,US,03/24/2020 01:00,2844,27,1,2020-03-24 17:00:00,2816,40.0757384,-74.4041622
WA,US,03/24/2020 01:00,2221,111,1,2020-03-24 17:00:00,2109,47.2868352,-120.2126139
California,US,03/24/2020 01:00,2212,43,6,2020-03-24 17:00:00,2163,36.7014631,-118.75599740000001
Michigan,US,03/24/2020 01:00,1329,15,0,2020-03-24 17:00:00,1314,43.6211955,-84.6824346
Illinois,US,03/24/2020 01:00,1285,12,2,2020-03-24 17:00:00,1271,40.079660600000004,-89.4337288
Florida,US,03/24/2020 01:00,1227,18,0,2020-03-24 17:00:00,1209,27.7567667,-81.4639835
Louisiana,US,03/24/2020 01:00,1172,35,0,2020-03-24 17:00:00,1137,30.8703881,-92.007126
Georgia,US,03/24/2020 01:00,803,26,0,2020-03-24 17:00:00,777,32.329380900000004,-83.1137366
Texas,US,03/24/2020 01:00,803,9,0,2020-03-24 17:00:00,794,31.8160381,-99.51209859999999
Massachusetts,US,03/24/2020 01:00,777,9,1,2020-03-24 17:00:00,767,42.3788774,-72.03236600000001
Colorado,US,03/24/2020 01:00,723,7,0,2020-03-24 17:00:00,716,38.7251776,-105.60771670000001
Pennsylvania,US,03/24/2020 01:00,698,7,0,2020-03-24 17:00:00,691,40.9699889,-77.72788309999999
Tennessee,US,03/24/2020 01:00,615,2,0,2020-03-24 17:00:00,613,35.7730076,-86.28200809999998
Ohio,US,03/24/2020 01:00,443,6,0,2020-03-24 17:00:00,437,40.225356899999994,-82.6881395
Wisconsin,US,03/24/2020 01:00,425,5,1,2020-03-24 17:00:00,419,44.4308975,-89.6884637
North Carolina,US,03/24/2020 01:00,420,0,0,2020-03-24 17:00:00,420,35.6729639,-79.03929190000001
Connecticut,US,03/24/2020 01:00,415,10,0,2020-03-24 17:00:00,405,41.6500201,-72.7342163
South Carolina,US,03/24/2020 01:00,298,5,0,2020-03-24 17:00:00,293,33.687438799999995,-80.4363743
Maryland,US,03/24/2020 01:00,290,3,3,2020-03-24 17:00:00,284,39.5162234,-76.9382069
Indiana,US,03/24/2020 01:00,271,7,0,2020-03-24 17:00:00,264,40.327012700000004,-86.1746933
Nevada,US,03/24/2020 01:00,263,4,0,2020-03-24 17:00:00,259,39.515882500000004,-116.85372269999999
Utah,US,03/24/2020 01:00,257,1,0,2020-03-24 17:00:00,256,39.4225192,-111.71435840000001
Virginia,US,03/24/2020 01:00,254,7,0,2020-03-24 17:00:00,247,37.1232245,-78.4927721
Mississippi,US,03/24/2020 01:00,249,1,0,2020-03-24 17:00:00,248,32.9715645,-89.7348497
Arizona,US,03/24/2020 01:00,235,3,1,2020-03-24 17:00:00,231,34.395342,-111.76327549999999
Minnesota,US,03/24/2020 01:00,235,1,0,2020-03-24 17:00:00,234,45.98965870000001,-94.6113288
Missouri,US,03/24/2020 01:00,216,5,0,2020-03-24 17:00:00,211,38.7604815,-92.5617875
Arkansas,US,03/24/2020 01:00,197,0,0,2020-03-24 17:00:00,197,35.2048883,-92.4479108
Alabama,US,03/24/2020 01:00,196,0,0,2020-03-24 17:00:00,196,33.258881699999996,-86.8295337
Oregon,US,03/24/2020 01:00,191,5,0,2020-03-24 17:00:00,186,43.9792797,-120.737257
Washington DC,US,03/24/2020 01:00,141,2,0,2020-03-24 17:00:00,139,38.894893200000006,-77.0365529
Kentucky,US,03/24/2020 01:00,124,4,1,2020-03-24 17:00:00,119,37.5726028,-85.1551411
Maine,US,03/24/2020 01:00,107,0,0,2020-03-24 17:00:00,107,45.709097,-68.8590201
Rhode Island,US,03/24/2020 01:00,106,0,0,2020-03-24 17:00:00,106,41.7962409,-71.59923719999999
Iowa,US,03/24/2020 01:00,105,0,0,2020-03-24 17:00:00,105,41.9216734,-93.3122705
New Hampshire,US,03/24/2020 01:00,101,1,0,2020-03-24 17:00:00,100,43.484913299999995,-71.6553992
Delaware,US,03/24/2020 01:00,87,0,0,2020-03-24 17:00:00,87,38.6920451,-75.4013315
Kansas,US,03/24/2020 01:00,85,2,0,2020-03-24 17:00:00,83,38.27312,-98.58218719999999
New Mexico,US,03/24/2020 01:00,83,0,0,2020-03-24 17:00:00,83,34.5708167,-105.993007
Oklahoma,US,03/24/2020 01:00,81,2,0,2020-03-24 17:00:00,79,34.9550817,-97.2684063
Hawaii,US,03/24/2020 01:00,77,0,0,2020-03-24 17:00:00,77,21.2160437,-157.975203
Vermont,US,03/24/2020 01:00,75,5,0,2020-03-24 17:00:00,70,44.5990718,-72.5002608
Idaho,US,03/24/2020 01:00,68,0,0,2020-03-24 17:00:00,68,43.644764200000004,-114.0154071
Nebraska,US,03/24/2020 01:00,64,0,0,2020-03-24 17:00:00,64,41.7370229,-99.5873816
From Diamond Princess cruise,US,03/24/2020 01:00,49,0,0,2020-03-24 17:00:00,49,41.258745899999994,-95.93837579999999
Montana,US,03/24/2020 01:00,46,0,0,2020-03-24 17:00:00,46,47.3752671,-109.63875790000002
Alaska,US,03/24/2020 01:00,36,0,0,2020-03-24 17:00:00,36,64.44596130000001,-149.680909
North Dakota,US,03/24/2020 01:00,33,0,0,2020-03-24 17:00:00,33,47.6201461,-100.540737
From Grand Princess,US,03/24/2020 01:00,28,1,0,2020-03-24 17:00:00,27,37.7268801,-122.203452
