Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
Hubei,China,03/21/2020 22:00,67800,3144,59432,2020-03-22 14:00:00,5224,31.151725199999998,112.87832220000001
Beijing,China,03/21/2020 22:00,504,8,396,2020-03-22 14:00:00,100,39.906217,116.3912757
Guangdong,China,03/21/2020 22:00,1399,8,1325,2020-03-22 14:00:00,66,23.135769399999997,113.19826880000001
Gansu,China,03/21/2020 22:00,134,2,113,2020-03-22 14:00:00,19,38.0000001,101.9999999
Shanghai,China,03/21/2020 22:00,380,3,327,2020-03-22 14:00:00,50,31.225298499999997,121.4890497
Sichuan,China,03/21/2020 22:00,542,3,536,2020-03-22 14:00:00,3,30.500000099999998,102.4999999
Heilongjiang,China,03/21/2020 22:00,484,13,463,2020-03-22 14:00:00,8,48.00000470000001,127.99999199999999
Zhejiang,China,03/21/2020 22:00,1236,1,1219,2020-03-22 14:00:00,16,29.000000099999998,119.9999999
Shandong,China,03/21/2020 22:00,764,7,749,2020-03-22 14:00:00,8,36.0000001,118.9999999
Shaanxi,China,03/21/2020 22:00,248,3,239,2020-03-22 14:00:00,6,36.0,109.0
Liaoning,China,03/21/2020 22:00,126,2,122,2020-03-22 14:00:00,2,40.9739116,122.3263915
Guangxi,China,03/21/2020 22:00,254,2,250,2020-03-22 14:00:00,2,24.0,109.0
Inner Mongolia,China,03/21/2020 22:00,75,1,74,2020-03-22 14:00:00,0,43.2443242,114.32516640000001
Hebei,China,03/21/2020 22:00,318,6,310,2020-03-22 14:00:00,2,39.0000001,116.0
Hainan,China,03/21/2020 22:00,168,6,161,2020-03-22 14:00:00,1,19.2000001,109.5999999
Ningxia,China,03/21/2020 22:00,75,0,75,2020-03-22 14:00:00,0,37.3095528,105.9608553
Henan,China,03/21/2020 22:00,1273,22,1250,2020-03-22 14:00:00,1,34.0000001,113.9999999
Jiangsu,China,03/21/2020 22:00,631,0,631,2020-03-22 14:00:00,0,33.0000001,119.9999999
Chongqing,China,03/21/2020 22:00,576,6,570,2020-03-22 14:00:00,0,29.5585712,106.5492822
Guizhou,China,03/21/2020 22:00,146,2,144,2020-03-22 14:00:00,0,27.0,107.0
Tianjin,China,03/21/2020 22:00,137,3,133,2020-03-22 14:00:00,1,39.1235635,117.1980785
Jilin,China,03/21/2020 22:00,93,1,92,2020-03-22 14:00:00,0,42.9995032,125.9816054
Hunan,China,03/21/2020 22:00,1018,4,1014,2020-03-22 14:00:00,0,27.6662087,111.74870630000001
Anhui,China,03/21/2020 22:00,990,6,984,2020-03-22 14:00:00,0,32.0,117.0
Jiangxi,China,03/21/2020 22:00,935,1,934,2020-03-22 14:00:00,0,28.0,116.0
Fujian,China,03/21/2020 22:00,303,1,295,2020-03-22 14:00:00,7,26.5450001,117.84277800000001
Yunnan,China,03/21/2020 22:00,176,2,172,2020-03-22 14:00:00,2,25.0,102.0
Shanxi,China,03/21/2020 22:00,133,0,133,2020-03-22 14:00:00,0,37.0,112.0
Xinjiang,China,03/21/2020 22:00,76,3,73,2020-03-22 14:00:00,0,41.7574769,87.1673842
Qinghai,China,03/21/2020 22:00,18,0,18,2020-03-22 14:00:00,0,35.40709520000001,95.95211570000001
Tibet,China,03/21/2020 22:00,1,0,1,2020-03-22 14:00:00,0,31.894343199999998,87.07813709999998
New South Wales,Australia,03/21/2020 22:00,532,5,4,2020-03-22 14:00:00,523,-33.8548157,151.2164539
Queensland,Australia,03/21/2020 22:00,259,1,9,2020-03-22 14:00:00,249,-27.468968199999996,153.02349909999995
Victoria,Australia,03/21/2020 22:00,296,0,28,2020-03-22 14:00:00,268,-37.814217600000006,144.9631608
South Australia,Australia,03/21/2020 22:00,67,0,6,2020-03-22 14:00:00,61,-34.928180499999996,138.5999312
Western Australia,Australia,03/21/2020 22:00,90,1,1,2020-03-22 14:00:00,88,-31.95271210000001,115.86047959999999
Tasmania,Australia,03/21/2020 22:00,16,0,3,2020-03-22 14:00:00,13,-42.8825088,147.3281233
Australian Capital Territory,Australia,03/21/2020 22:00,19,0,1,2020-03-22 14:00:00,18,-35.488350200000006,149.00269419999995
Northern Territory,Australia,03/21/2020 22:00,4,0,0,2020-03-22 14:00:00,4,-12.46044,130.8410469
New York,US,03/21/2020 22:00,12315,76,0,2020-03-22 14:00:00,12239,40.7127281,-74.0060152
WA,US,03/21/2020 22:00,1793,94,1,2020-03-22 14:00:00,1698,47.2868352,-120.2126139
