Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
Hubei,China,03/24/2020 04:30,67801,3160,60323,2020-03-24 20:30:00,4318,31.151725199999998,112.87832220000001
Beijing,China,03/24/2020 04:30,558,8,401,2020-03-24 20:30:00,149,39.906217,116.3912757
Guangdong,China,03/24/2020 04:30,1428,8,1333,2020-03-24 20:30:00,87,23.135769399999997,113.19826880000001
Gansu,China,03/24/2020 04:30,136,2,118,2020-03-24 20:30:00,16,38.0000001,101.9999999
Shanghai,China,03/24/2020 04:30,404,4,330,2020-03-24 20:30:00,70,31.225298499999997,121.4890497
Sichuan,China,03/24/2020 04:30,545,3,536,2020-03-24 20:30:00,6,30.500000099999998,102.4999999
Heilongjiang,China,03/24/2020 04:30,484,13,468,2020-03-24 20:30:00,3,48.000004700000005,127.99999199999999
Zhejiang,China,03/24/2020 04:30,1240,1,1221,2020-03-24 20:30:00,18,29.000000099999998,119.9999999
Shandong,China,03/24/2020 04:30,768,7,752,2020-03-24 20:30:00,9,36.0000001,118.9999999
Shaanxi,China,03/24/2020 04:30,249,3,240,2020-03-24 20:30:00,6,36.0,109.0
Guangxi,China,03/24/2020 04:30,254,2,250,2020-03-24 20:30:00,2,24.0,109.0
Hebei,China,03/24/2020 04:30,319,6,310,2020-03-24 20:30:00,3,39.0000001,116.0
Hainan,China,03/24/2020 04:30,168,6,162,2020-03-24 20:30:00,0,19.2000001,109.5999999
Henan,China,03/24/2020 04:30,1274,22,1250,2020-03-24 20:30:00,2,34.0000001,113.9999999
Jiangsu,China,03/24/2020 04:30,636,0,631,2020-03-24 20:30:00,5,33.0000001,119.9999999
Chongqing,China,03/24/2020 04:30,578,6,570,2020-03-24 20:30:00,2,29.5585712,106.5492822
Guizhou,China,03/24/2020 04:30,146,2,144,2020-03-24 20:30:00,0,27.0,107.0
Tianjin,China,03/24/2020 04:30,142,3,133,2020-03-24 20:30:00,6,39.1235635,117.1980785
Jilin,China,03/24/2020 04:30,93,1,92,2020-03-24 20:30:00,0,42.9995032,125.9816054
Hunan,China,03/24/2020 04:30,1018,4,1014,2020-03-24 20:30:00,0,27.6662087,111.74870630000001
Anhui,China,03/24/2020 04:30,990,6,984,2020-03-24 20:30:00,0,32.0,117.0
Jiangxi,China,03/24/2020 04:30,936,1,934,2020-03-24 20:30:00,1,28.0,116.0
Fujian,China,03/24/2020 04:30,318,1,295,2020-03-24 20:30:00,22,26.5450001,117.84277800000001
Yunnan,China,03/24/2020 04:30,176,2,172,2020-03-24 20:30:00,2,25.0,102.0
Shanxi,China,03/24/2020 04:30,134,0,133,2020-03-24 20:30:00,1,37.0,112.0
Liaoning,China,03/24/2020 04:30,127,2,124,2020-03-24 20:30:00,1,40.9739116,122.3263915
Xinjiang,China,03/24/2020 04:30,76,3,73,2020-03-24 20:30:00,0,41.7574769,87.1673842
Ningxia,China,03/24/2020 04:30,75,0,75,2020-03-24 20:30:00,0,37.3095528,105.9608553
Inner Mongolia,China,03/24/2020 04:30,75,1,74,2020-03-24 20:30:00,0,43.2443242,114.32516640000001
Qinghai,China,03/24/2020 04:30,18,0,18,2020-03-24 20:30:00,0,35.40709520000001,95.95211570000001
Tibet,China,03/24/2020 04:30,1,0,1,2020-03-24 20:30:00,0,31.894343199999998,87.07813709999999
New South Wales,Australia,03/24/2020 04:30,913,6,4,2020-03-24 20:30:00,903,-33.8548157,151.2164539
Queensland,Australia,03/24/2020 04:30,397,1,9,2020-03-24 20:30:00,387,-27.468968199999996,153.02349909999998
Victoria,Australia,03/24/2020 04:30,411,0,97,2020-03-24 20:30:00,314,-37.814217600000006,144.9631608
South Australia,Australia,03/24/2020 04:30,170,0,6,2020-03-24 20:30:00,164,-34.928180499999996,138.5999312
Western Australia,Australia,03/24/2020 04:30,175,1,1,2020-03-24 20:30:00,173,-31.952712100000003,115.86047959999999
Tasmania,Australia,03/24/2020 04:30,36,0,3,2020-03-24 20:30:00,33,-42.8825088,147.3281233
Australian Capital Territory,Australia,03/24/2020 04:30,39,0,1,2020-03-24 20:30:00,38,-35.488350200000006,149.00269419999998
Northern Territory,Australia,03/24/2020 04:30,5,0,0,2020-03-24 20:30:00,5,-12.46044,130.8410469
New York,US,03/24/2020 04:30,23230,188,0,2020-03-24 20:30:00,23042,40.7127281,-74.0060152
New Jersey,US,03/24/2020 04:30,2844,27,1,2020-03-24 20:30:00,2816,40.0757384,-74.4041622
WA,US,03/24/2020 04:30,2221,111,1,2020-03-24 20:30:00,2109,47.2868352,-120.2126139
California,US,03/24/2020 04:30,2220,43,6,2020-03-24 20:30:00,2171,36.7014631,-118.75599740000001
Michigan,US,03/24/2020 04:30,1329,15,0,2020-03-24 20:30:00,1314,43.6211955,-84.6824346
Illinois,US,03/24/2020 04:30,1285,12,2,2020-03-24 20:30:00,1271,40.079660600000004,-89.4337288
Florida,US,03/24/2020 04:30,1227,18,0,2020-03-24 20:30:00,1209,27.7567667,-81.4639835
Louisiana,US,03/24/2020 04:30,1172,35,0,2020-03-24 20:30:00,1137,30.8703881,-92.007126
Georgia,US,03/24/2020 04:30,803,26,0,2020-03-24 20:30:00,777,32.329380900000004,-83.1137366
Texas,US,03/24/2020 04:30,803,9,0,2020-03-24 20:30:00,794,31.8160381,-99.51209859999999
Massachusetts,US,03/24/2020 04:30,777,9,1,2020-03-24 20:30:00,767,42.3788774,-72.03236600000001
Colorado,US,03/24/2020 04:30,723,7,0,2020-03-24 20:30:00,716,38.7251776,-105.60771670000001
Pennsylvania,US,03/24/2020 04:30,698,7,0,2020-03-24 20:30:00,691,40.9699889,-77.72788309999999
Tennessee,US,03/24/2020 04:30,615,2,0,2020-03-24 20:30:00,613,35.7730076,-86.28200809999998
Ohio,US,03/24/2020 04:30,443,6,0,2020-03-24 20:30:00,437,40.225356899999994,-82.6881395
Wisconsin,US,03/24/2020 04:30,425,5,1,2020-03-24 20:30:00,419,44.4308975,-89.6884637
North Carolina,US,03/24/2020 04:30,420,0,0,2020-03-24 20:30:00,420,35.6729639,-79.03929190000001
Connecticut,US,03/24/2020 04:30,415,10,0,2020-03-24 20:30:00,405,41.6500201,-72.7342163
South Carolina,US,03/24/2020 04:30,298,5,0,2020-03-24 20:30:00,293,33.687438799999995,-80.4363743
Maryland,US,03/24/2020 04:30,290,3,3,2020-03-24 20:30:00,284,39.5162234,-76.9382069
Indiana,US,03/24/2020 04:30,271,7,0,2020-03-24 20:30:00,264,40.327012700000004,-86.1746933
Nevada,US,03/24/2020 04:30,263,4,0,2020-03-24 20:30:00,259,39.515882500000004,-116.85372269999999
Utah,US,03/24/2020 04:30,257,1,0,2020-03-24 20:30:00,256,39.4225192,-111.71435840000001
Virginia,US,03/24/2020 04:30,254,7,0,2020-03-24 20:30:00,247,37.1232245,-78.4927721
Mississippi,US,03/24/2020 04:30,249,1,0,2020-03-24 20:30:00,248,32.9715645,-89.7348497
Arizona,US,03/24/2020 04:30,235,3,1,2020-03-24 20:30:00,231,34.395342,-111.76327549999999
Minnesota,US,03/24/2020 04:30,235,1,0,2020-03-24 20:30:00,234,45.98965870000001,-94.6113288
Missouri,US,03/24/2020 04:30,216,5,0,2020-03-24 20:30:00,211,38.7604815,-92.5617875
Arkansas,US,03/24/2020 04:30,197,0,0,2020-03-24 20:30:00,197,35.2048883,-92.4479108
Alabama,US,03/24/2020 04:30,196,0,0,2020-03-24 20:30:00,196,33.258881699999996,-86.8295337
Oregon,US,03/24/2020 04:30,191,5,0,2020-03-24 20:30:00,186,43.9792797,-120.737257
Washington DC,US,03/24/2020 04:30,141,2,0,2020-03-24 20:30:00,139,38.894893200000006,-77.0365529
Kentucky,US,03/24/2020 04:30,124,4,1,2020-03-24 20:30:00,119,37.5726028,-85.1551411
Maine,US,03/24/2020 04:30,107,0,0,2020-03-24 20:30:00,107,45.709097,-68.8590201
Rhode Island,US,03/24/2020 04:30,106,0,0,2020-03-24 20:30:00,106,41.7962409,-71.59923719999999
Iowa,US,03/24/2020 04:30,105,0,0,2020-03-24 20:30:00,105,41.9216734,-93.3122705
New Hampshire,US,03/24/2020 04:30,101,1,0,2020-03-24 20:30:00,100,43.484913299999995,-71.6553992
Delaware,US,03/24/2020 04:30,87,0,0,2020-03-24 20:30:00,87,38.6920451,-75.4013315
Kansas,US,03/24/2020 04:30,85,2,0,2020-03-24 20:30:00,83,38.27312,-98.58218719999999
New Mexico,US,03/24/2020 04:30,83,0,0,2020-03-24 20:30:00,83,34.5708167,-105.993007
Oklahoma,US,03/24/2020 04:30,81,2,0,2020-03-24 20:30:00,79,34.9550817,-97.2684063
Hawaii,US,03/24/2020 04:30,77,0,0,2020-03-24 20:30:00,77,21.2160437,-157.975203
Vermont,US,03/24/2020 04:30,75,5,0,2020-03-24 20:30:00,70,44.5990718,-72.5002608
Idaho,US,03/24/2020 04:30,68,0,0,2020-03-24 20:30:00,68,43.644764200000004,-114.0154071
Nebraska,US,03/24/2020 04:30,64,0,0,2020-03-24 20:30:00,64,41.7370229,-99.5873816
Diamond Princess,US,03/24/2020 04:30,49,0,0,2020-03-24 20:30:00,49,41.258745899999994,-95.93837579999999
Montana,US,03/24/2020 04:30,46,0,0,2020-03-24 20:30:00,46,47.3752671,-109.63875790000002
Alaska,US,03/24/2020 04:30,36,0,0,2020-03-24 20:30:00,36,64.44596130000001,-149.680909
North Dakota,US,03/24/2020 04:30,33,0,0,2020-03-24 20:30:00,33,47.6201461,-100.540737
Grand Princess,US,03/24/2020 04:30,28,1,0,2020-03-24 20:30:00,27,37.7268801,-122.203452
South Dakota,US,03/24/2020 04:30,28,1,0,2020-03-24 20:30:00,27,44.6471761,-100.348761
Wyoming,US,03/24/2020 04:30,28,0,0,2020-03-24 20:30:00,28,43.1700264,-107.5685348
West Virginia,US,03/24/2020 04:30,20,0,0,2020-03-24 20:30:00,20,38.475840600000005,-80.84084150000001
,US,03/24/2020 04:30,0,0,159,2020-03-24 20:30:00,-159,39.7837304,-100.4458825
Quebec,Canada,03/24/2020 04:30,628,4,0,2020-03-24 20:30:00,624,52.4760892,-71.8258668
Ontario,Canada,03/24/2020 04:30,503,6,6,2020-03-24 20:30:00,491,50.000678,-86.000977
British Columbia,Canada,03/24/2020 04:30,472,13,4,2020-03-24 20:30:00,455,55.001251,-125.00244099999999
Alberta,Canada,03/24/2020 04:30,301,1,0,2020-03-24 20:30:00,300,55.001251,-115.00213600000001
Saskatchewan,Canada,03/24/2020 04:30,66,0,0,2020-03-24 20:30:00,66,55.5321257,-106.1412243
Nova Scotia,Canada,03/24/2020 04:30,41,0,0,2020-03-24 20:30:00,41,45.1960403,-63.1653789
Newfoundland and Labrador,Canada,03/24/2020 04:30,24,0,0,2020-03-24 20:30:00,24,53.821732700000005,-61.2295532
Manitoba,Canada,03/24/2020 04:30,20,0,0,2020-03-24 20:30:00,20,55.001251,-97.001038
New Brunswick,Canada,03/24/2020 04:30,17,0,0,2020-03-24 20:30:00,17,46.500283,-66.75018299999999
Prince Edward Island,Canada,03/24/2020 04:30,3,0,0,2020-03-24 20:30:00,3,46.5035454,-63.595517099999995
Yukon,Canada,03/24/2020 04:30,2,0,0,2020-03-24 20:30:00,2,63.000147,-136.002502
Northwest Territories,Canada,03/24/2020 04:30,1,0,0,2020-03-24 20:30:00,1,65.00000039999999,-118.0
,Italy,03/24/2020 04:30,63927,6077,7432,2020-03-24 20:30:00,50418,45.6209,9.768892999999998
,Spain,03/24/2020 04:30,35212,2316,3355,2020-03-24 20:30:00,29541,39.3262345,-4.838064900000001
,Germany,03/24/2020 04:30,29560,126,453,2020-03-24 20:30:00,28981,51.0834196,10.4234469
,Iran,03/24/2020 04:30,23049,1812,8376,2020-03-24 20:30:00,12861,32.6475314,54.56435160000001
,France,03/24/2020 04:30,19856,860,2200,2020-03-24 20:30:00,16796,46.603353999999996,1.8883334999999999
,South Korea,03/24/2020 04:30,9037,120,3507,2020-03-24 20:30:00,5410,35.8713,128.6018
,Switzerland,03/24/2020 04:30,8795,117,131,2020-03-24 20:30:00,8547,46.7985624,8.231973599999998
