Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Illinois,US,04/16/2020 07:00,24593,949,429,2020-04-16 22:00:00,23215,12740000,40.079660600000004,-89.4337288,North America,Worldwide
Florida,US,04/16/2020 07:00,22519,614,174,2020-04-16 22:00:00,21731,21300000,27.7567667,-81.4639835,North America,Worldwide
Louisiana,US,04/16/2020 07:00,21951,1103,0,2020-04-16 22:00:00,20848,4660000,30.8703881,-92.007126,North America,Worldwide
Texas,US,04/16/2020 07:00,16289,391,3150,2020-04-16 22:00:00,12748,28700000,31.8160381,-99.51209859999999,North America,Worldwide
Georgia,US,04/16/2020 07:00,15267,576,340,2020-04-16 22:00:00,14351,10520000,32.329380900000004,-83.1137366,North America,Worldwide
Connecticut,US,04/16/2020 07:00,14755,868,63,2020-04-16 22:00:00,13824,3573000,41.6500201,-72.7342163,North America,Worldwide
WA,US,04/16/2020 07:00,10971,565,1507,2020-04-16 22:00:00,8899,7536000,47.2868352,-120.2126139,North America,Worldwide
Maryland,US,04/16/2020 07:00,10032,347,607,2020-04-16 22:00:00,9078,6043000,39.5162234,-76.9382069,North America,Worldwide
Indiana,US,04/16/2020 07:00,8960,436,146,2020-04-16 22:00:00,8378,6692000,40.327012700000004,-86.1746933,North America,Worldwide
Colorado,US,04/16/2020 07:00,8280,356,510,2020-04-16 22:00:00,7414,5696000,38.7251776,-105.60771670000001,North America,Worldwide
Ohio,US,04/16/2020 07:00,7794,362,367,2020-04-16 22:00:00,7065,11690000,40.225356899999994,-82.6881395,North America,Worldwide
Virginia,US,04/16/2020 07:00,6500,195,721,2020-04-16 22:00:00,5584,8518000,37.1232245,-78.4927721,North America,Worldwide
Tennessee,US,04/16/2020 07:00,6288,135,2196,2020-04-16 22:00:00,3957,6770000,35.7730076,-86.28200809999998,North America,Worldwide
North Carolina,US,04/16/2020 07:00,5424,138,900,2020-04-16 22:00:00,4386,10380000,35.6729639,-79.03929190000001,North America,Worldwide
Missouri,US,04/16/2020 07:00,5004,166,443,2020-04-16 22:00:00,4395,6126000,38.7604815,-92.5617875,North America,Worldwide
Alabama,US,04/16/2020 07:00,4241,123,0,2020-04-16 22:00:00,4118,4888000,33.258881699999996,-86.8295337,North America,Worldwide
Arizona,US,04/16/2020 07:00,3968,143,6,2020-04-16 22:00:00,3819,7172000,34.395342,-111.76327549999999,North America,Worldwide
Wisconsin,US,04/16/2020 07:00,3721,183,87,2020-04-16 22:00:00,3451,5814000,44.4308975,-89.6884637,North America,Worldwide
South Carolina,US,04/16/2020 07:00,3656,107,0,2020-04-16 22:00:00,3549,5084000,33.687438799999995,-80.4363743,North America,Worldwide
Rhode Island,US,04/16/2020 07:00,3529,87,0,2020-04-16 22:00:00,3442,1057000,41.7962409,-71.59923719999999,North America,Worldwide
Mississippi,US,04/16/2020 07:00,3360,122,0,2020-04-16 22:00:00,3238,2987000,32.9715645,-89.7348497,North America,Worldwide
Nevada,US,04/16/2020 07:00,3214,137,1400,2020-04-16 22:00:00,1677,3034000,39.515882500000004,-116.85372269999999,North America,Worldwide
Utah,US,04/16/2020 07:00,2548,20,219,2020-04-16 22:00:00,2309,3161000,39.4225192,-111.71435840000001,North America,Worldwide
Kentucky,US,04/16/2020 07:00,2291,122,800,2020-04-16 22:00:00,1369,4468000,37.5726028,-85.1551411,North America,Worldwide
Oklahoma,US,04/16/2020 07:00,2263,123,1060,2020-04-16 22:00:00,1080,3943000,34.9550817,-97.2684063,North America,Worldwide
Washington DC,US,04/16/2020 07:00,2197,72,530,2020-04-16 22:00:00,1595,633427,38.894893200000006,-77.0365529,North America,Worldwide
Delaware,US,04/16/2020 07:00,2014,46,354,2020-04-16 22:00:00,1614,967171,38.6920451,-75.4013315,North America,Worldwide
Iowa,US,04/16/2020 07:00,1995,53,908,2020-04-16 22:00:00,1034,3156000,41.9216734,-93.3122705,North America,Worldwide
Minnesota,US,04/16/2020 07:00,1809,87,940,2020-04-16 22:00:00,782,5611000,45.98965870000001,-94.6113288,North America,Worldwide
Oregon,US,04/16/2020 07:00,1663,58,42,2020-04-16 22:00:00,1563,4191000,43.9792797,-120.737257,North America,Worldwide
Arkansas,US,04/16/2020 07:00,1599,34,489,2020-04-16 22:00:00,1076,3014000,35.2048883,-92.4479108,North America,Worldwide
Kansas,US,04/16/2020 07:00,1526,74,293,2020-04-16 22:00:00,1159,2912000,38.27312,-98.58218719999999,North America,Worldwide
Idaho,US,04/16/2020 07:00,1508,41,0,2020-04-16 22:00:00,1467,1754000,43.644764200000004,-114.0154071,North America,Worldwide
New Mexico,US,04/16/2020 07:00,1484,36,353,2020-04-16 22:00:00,1095,2095000,34.5708167,-105.993007,North America,Worldwide
South Dakota,US,04/16/2020 07:00,1168,6,329,2020-04-16 22:00:00,833,882235,44.6471761,-100.348761,North America,Worldwide
New Hampshire,US,04/16/2020 07:00,1139,32,365,2020-04-16 22:00:00,742,1356000,43.484913299999995,-71.6553992,North America,Worldwide
Puerto Rico,US,04/16/2020 07:00,974,51,0,2020-04-16 22:00:00,923,3195000,18.2214149,-66.4132818,North America,Worldwide
Nebraska,US,04/16/2020 07:00,952,21,0,2020-04-16 22:00:00,931,1929000,41.7370229,-99.5873816,North America,Worldwide
Navajo Nation,US,04/16/2020 07:00,921,38,0,2020-04-16 22:00:00,883,356890,36.3089731,-109.32568799999999,North America,Worldwide
Maine,US,04/16/2020 07:00,770,24,305,2020-04-16 22:00:00,441,1338000,45.709097,-68.8590201,North America,Worldwide
Vermont,US,04/16/2020 07:00,759,30,0,2020-04-16 22:00:00,729,626299,44.5990718,-72.5002608,North America,Worldwide
West Virginia,US,04/16/2020 07:00,723,12,147,2020-04-16 22:00:00,564,1806000,38.475840600000005,-80.84084150000001,North America,Worldwide
Hawaii,US,04/16/2020 07:00,530,9,359,2020-04-16 22:00:00,162,1420000,21.2160437,-157.975203,North America,Worldwide
Montana,US,04/16/2020 07:00,404,7,209,2020-04-16 22:00:00,188,1062000,47.3752671,-109.63875790000002,North America,Worldwide
North Dakota,US,04/16/2020 07:00,365,9,142,2020-04-16 22:00:00,214,760077,47.6201461,-100.540737,North America,Worldwide
Alaska,US,04/16/2020 07:00,293,9,106,2020-04-16 22:00:00,178,737438,64.44596130000001,-149.680909,North America,Worldwide
Wyoming,US,04/16/2020 07:00,288,2,164,2020-04-16 22:00:00,122,577737,43.1700264,-107.5685348,North America,Worldwide
Guam,US,04/16/2020 07:00,135,5,66,2020-04-16 22:00:00,64,164229,13.4501257,144.757551,North America,Worldwide
