Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/07/2020 16:30,67803,3212,64073,2020-04-08 07:30:00,518,58500000.0,31.1517252,112.8783222
Beijing,China,04/07/2020 16:30,587,8,448,2020-04-08 07:30:00,131,21540000.0,39.906217,116.3912757
Shanghai,China,04/07/2020 16:30,538,6,406,2020-04-08 07:30:00,126,24280000.0,31.2252985,121.4890497
Guangdong,China,04/07/2020 16:30,1533,8,1401,2020-04-08 07:30:00,124,113460000.0,23.1357694,113.1982688
Fujian,China,04/07/2020 16:30,351,1,305,2020-04-08 07:30:00,45,38560000.0,26.5450001,117.842778
Inner Mongolia,China,04/07/2020 16:30,121,1,74,2020-04-08 07:30:00,46,24710000.0,43.2443242,114.3251664
Heilongjiang,China,04/07/2020 16:30,544,13,469,2020-04-08 07:30:00,62,38310000.0,48.00000470000001,127.999992
Zhejiang,China,04/07/2020 16:30,1265,1,1230,2020-04-08 07:30:00,34,57370000.0,29.0000001,119.9999999
Tianjin,China,04/07/2020 16:30,180,3,151,2020-04-08 07:30:00,26,15621200.0,39.1235635,117.1980785
Shandong,China,04/07/2020 16:30,781,7,755,2020-04-08 07:30:00,19,100472400.0,36.0000001,118.9999999
Jiangsu,China,04/07/2020 16:30,651,0,633,2020-04-08 07:30:00,18,80400000.0,33.0000001,119.9999999
Sichuan,China,04/07/2020 16:30,560,3,541,2020-04-08 07:30:00,16,81100000.0,30.5000001,102.4999999
Liaoning,China,04/07/2020 16:30,144,2,130,2020-04-08 07:30:00,12,43900000.0,40.9739116,122.3263915
Hebei,China,04/07/2020 16:30,327,6,312,2020-04-08 07:30:00,9,74700000.0,39.0000001,116.0
Yunnan,China,04/07/2020 16:30,184,2,173,2020-04-08 07:30:00,9,45970000.0,25.0,102.0
Shaanxi,China,04/07/2020 16:30,256,3,246,2020-04-08 07:30:00,7,37330000.0,36.0,109.0
Gansu,China,04/07/2020 16:30,139,2,132,2020-04-08 07:30:00,5,25580000.0,38.0000001,101.9999999
Shanxi,China,04/07/2020 16:30,138,0,133,2020-04-08 07:30:00,5,36500000.0,37.0,112.0
Jilin,China,04/07/2020 16:30,98,1,92,2020-04-08 07:30:00,5,27460000.0,42.9995032,125.9816054
