Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,03/03/2020  01:00,67217,2834,36167,2020-03-03 17:00:00,31.1517252,112.8783222
Guangdong,China,03/03/2020  01:00,1350,7,1084,2020-03-03 17:00:00,23.1357694,113.1982688
Zhejiang,China,03/03/2020  01:00,1213,1,1074,2020-03-03 17:00:00,29.0000001,119.9999999
Shandong,China,03/03/2020  01:00,758,6,498,2020-03-03 17:00:00,36.0000001,118.9999999
Henan,China,03/03/2020  01:00,1272,22,1224,2020-03-03 17:00:00,34.0000001,113.9999999
Anhui,China,03/03/2020  01:00,990,6,917,2020-03-03 17:00:00,32.0,117.0
Jiangxi,China,03/03/2020  01:00,935,1,870,2020-03-03 17:00:00,28.0,116.0
Hunan,China,03/03/2020  01:00,1018,4,894,2020-03-03 17:00:00,27.6662087,111.7487063
Heilongjiang,China,03/03/2020  01:00,480,13,358,2020-03-03 17:00:00,48.0000047,127.999992
Sichuan,China,03/03/2020  01:00,538,3,389,2020-03-03 17:00:00,30.5000001,102.4999999
Chongqing,China,03/03/2020  01:00,576,6,469,2020-03-03 17:00:00,29.5585712,106.5492822
Jiangsu,China,03/03/2020  01:00,631,0,556,2020-03-03 17:00:00,33.0000001,119.9999999
Beijing,China,03/03/2020  01:00,414,8,288,2020-03-03 17:00:00,39.906217,116.3912757
Guangxi,China,03/03/2020  01:00,252,2,202,2020-03-03 17:00:00,24.0,109.0
Fujian,China,03/03/2020  01:00,296,1,255,2020-03-03 17:00:00,26.5450001,117.842778
Shanghai,China,03/03/2020  01:00,338,3,294,2020-03-03 17:00:00,31.2252985,121.4890497
Hebei,China,03/03/2020  01:00,318,6,297,2020-03-03 17:00:00,39.0000001,116.0
Shaanxi,China,03/03/2020  01:00,245,1,216,2020-03-03 17:00:00,36.0,109.0
Yunnan,China,03/03/2020  01:00,174,2,169,2020-03-03 17:00:00,25.0,102.0
Tianjin,China,03/03/2020  01:00,136,3,118,2020-03-03 17:00:00,39.1235635,117.1980785
Hainan,China,03/03/2020  01:00,168,5,151,2020-03-03 17:00:00,19.2000001,109.5999999
Guizhou,China,03/03/2020  01:00,146,2,114,2020-03-03 17:00:00,27.0,107.0
Liaoning,China,03/03/2020  01:00,125,1,103,2020-03-03 17:00:00,40.9739116,122.3263915
Shanxi,China,03/03/2020  01:00,133,0,119,2020-03-03 17:00:00,37.0,112.0
Inner Mongolia,China,03/03/2020  01:00,75,0,54,2020-03-03 17:00:00,43.2443242,114.3251664
Xinjiang,China,03/03/2020  01:00,76,3,67,2020-03-03 17:00:00,41.7574769,87.1673842
Jilin,China,03/03/2020  01:00,93,1,83,2020-03-03 17:00:00,42.9995032,125.9816054
Ningxia,China,03/03/2020  01:00,74,0,69,2020-03-03 17:00:00,37.3095528,105.9608553
Gansu,China,03/03/2020  01:00,91,2,85,2020-03-03 17:00:00,38.0000001,101.9999999
Qinghai,China,03/03/2020  01:00,18,0,18,2020-03-03 17:00:00,35.4070952,95.9521157
Tibet,China,03/03/2020  01:00,1,0,1,2020-03-03 17:00:00,31.8943432,87.0781371
