Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/10/2020 17:30,31728,2222,974,
Guangdong,Mainland China,2/10/2020 17:30,1159,165,1,
Zhejiang,Mainland China,2/10/2020 17:30,1092,239,0,
Henan,Mainland China,2/10/2020 17:30,1073,190,6,
Hunan,Mainland China,2/10/2020 17:30,879,208,1,
Anhui,Mainland China,2/10/2020 17:30,830,89,3,
Jiangxi,Mainland China,2/10/2020 17:30,771,102,1,
Jiangsu,Mainland China,2/10/2020 17:30,492,80,0,
Chongqing,Mainland China,2/10/2020 17:30,473,66,2,
Shandong,Mainland China,2/10/2020 17:30,466,66,1,
Sichuan,Mainland China,2/10/2020 17:30,405,80,1,
Beijing,Mainland China,2/10/2020 17:30,337,44,2,
Heilongjiang,Mainland China,2/10/2020 17:30,331,27,7,
Shanghai,Mainland China,2/10/2020 17:30,299,48,1,
Fujian,Mainland China,2/10/2020 17:30,261,39,0,
Hebei,Mainland China,2/10/2020 17:30,218,41,2,
Shaanxi,Mainland China,2/10/2020 17:30,213,30,0,
Guangxi,Mainland China,2/10/2020 17:30,210,18,1,
Yunnan,Mainland China,2/10/2020 17:30,149,19,0,
Hainan,Mainland China,2/10/2020 17:30,138,19,3,
Yokohama,Japan,2/10/2020 17:30,135,0,0,
Shanxi,Mainland China,2/10/2020 17:30,122,26,0,
Guizhou,Mainland China,2/10/2020 17:30,109,7,1,
Liaoning,Mainland China,2/10/2020 17:30,108,13,0,
Tianjin,Mainland China,2/10/2020 17:30,95,8,1,
Gansu,Mainland China,2/10/2020 17:30,86,21,2,
Jilin,Mainland China,2/10/2020 17:30,80,13,1,
Inner Mongolia,Mainland China,2/10/2020 17:30,58,5,0,
Ningxia,Mainland China,2/10/2020 17:30,49,14,0,
Xinjiang,Mainland China,2/10/2020 17:30,49,0,0,
,Singapore,2/10/2020 17:30,45,7,0,
Hong Kong,Hong Kong,2/10/2020 17:30,38,0,1,
,Thailand,2/10/2020 17:30,32,10,0,
,South Korea,2/10/2020 17:30,27,3,0,
,Japan,2/10/2020 17:30,26,9,0,
Qinghai,Mainland China,2/10/2020 17:30,18,3,0,
Taiwan,Taiwan,2/10/2020 17:30,18,1,0,
,Malaysia,2/10/2020 17:30,18,3,0,
,Germany,2/10/2020 17:30,14,0,0,
,Vietnam,2/10/2020 17:30,14,3,0,
,France,2/10/2020 17:30,11,0,0,
Macau,Macau,2/10/2020 17:30,10,1,0,
,UK,2/10/2020 17:30,8,0,0,
,United Arab Emirates,2/10/2020 17:30,8,0,0,
California,US,2/10/2020 17:30,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/10/2020 17:30,5,0,0,
New South Wales,Australia,2/10/2020 17:30,4,3,0,
Victoria,Australia,2/10/2020 17:30,4,2,0,
British Columbia,Canada,2/10/2020 17:30,4,0,0,
Ontario,Canada,2/10/2020 17:30,3,0,0,
,India,2/10/2020 17:30,3,0,0,
,Philippines,2/10/2020 17:30,3,2,1,
,Italy,2/10/2020 17:30,3,0,0,
,Russia,2/10/2020 17:30,2,0,0,
Illinois,US,2/10/2020 17:30,2,2,0,Chicago
South Australia,Australia,2/10/2020 17:30,2,0,0,
,Spain,2/10/2020 17:30,2,0,0,
,Cambodia,2/10/2020 17:30,1,1,0,
,Finland,2/10/2020 17:30,1,1,0,
,Sri Lanka,2/10/2020 17:30,1,1,0,
Tibet,Mainland China,2/10/2020 17:30,1,0,0,
,Nepal,2/10/2020 17:30,1,0,0,
,Sweden,2/10/2020 17:30,1,0,0,
Massachusetts,US,2/10/2020 17:30,1,0,0,Boston
WA,US,2/10/2020 17:30,1,0,0,Seattle
Arizona,US,2/10/2020 17:30,1,0,0,Tempe
Brussels,Belgium,2/10/2020 17:30,1,0,0,
WI,US,2/10/2020 17:30,1,0,0,Madison
