Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,03/04/2020  22:00,67466,2902,40479,2020-03-05 14:00:00,31.1517252,112.8783222
Guangdong,China,03/04/2020  22:00,1350,7,1159,2020-03-05 14:00:00,23.1357694,113.1982688
Zhejiang,China,03/04/2020  22:00,1215,1,1118,2020-03-05 14:00:00,29.0000001,119.9999999
Shandong,China,03/04/2020  22:00,758,6,576,2020-03-05 14:00:00,36.0000001,118.9999999
Henan,China,03/04/2020  22:00,1272,22,1239,2020-03-05 14:00:00,34.0000001,113.9999999
Anhui,China,03/04/2020  22:00,990,6,956,2020-03-05 14:00:00,32.0,117.0
Jiangxi,China,03/04/2020  22:00,935,1,901,2020-03-05 14:00:00,28.0,116.0
Hunan,China,03/04/2020  22:00,1018,4,933,2020-03-05 14:00:00,27.6662087,111.7487063
Heilongjiang,China,03/04/2020  22:00,481,13,379,2020-03-05 14:00:00,48.0000047,127.999992
Sichuan,China,03/04/2020  22:00,539,3,418,2020-03-05 14:00:00,30.5000001,102.4999999
Chongqing,China,03/04/2020  22:00,576,6,502,2020-03-05 14:00:00,29.5585712,106.5492822
Jiangsu,China,03/04/2020  22:00,631,0,580,2020-03-05 14:00:00,33.0000001,119.9999999
Beijing,China,03/04/2020  22:00,418,8,297,2020-03-05 14:00:00,39.906217,116.3912757
Guangxi,China,03/04/2020  22:00,252,2,231,2020-03-05 14:00:00,24.0,109.0
Fujian,China,03/04/2020  22:00,296,1,270,2020-03-05 14:00:00,26.5450001,117.842778
Shanghai,China,03/04/2020  22:00,338,3,298,2020-03-05 14:00:00,31.2252985,121.4890497
Hebei,China,03/04/2020  22:00,318,6,301,2020-03-05 14:00:00,39.0000001,116.0
Shaanxi,China,03/04/2020  22:00,245,1,222,2020-03-05 14:00:00,36.0,109.0
Yunnan,China,03/04/2020  22:00,174,2,169,2020-03-05 14:00:00,25.0,102.0
Tianjin,China,03/04/2020  22:00,136,3,128,2020-03-05 14:00:00,39.1235635,117.1980785
Hainan,China,03/04/2020  22:00,168,5,158,2020-03-05 14:00:00,19.2000001,109.5999999
Guizhou,China,03/04/2020  22:00,146,2,114,2020-03-05 14:00:00,27.0,107.0
Liaoning,China,03/04/2020  22:00,125,1,106,2020-03-05 14:00:00,40.9739116,122.3263915
Shanxi,China,03/04/2020  22:00,133,0,124,2020-03-05 14:00:00,37.0,112.0
Inner Mongolia,China,03/04/2020  22:00,75,1,63,2020-03-05 14:00:00,43.2443242,114.3251664
Xinjiang,China,03/04/2020  22:00,76,3,69,2020-03-05 14:00:00,41.7574769,87.1673842
Jilin,China,03/04/2020  22:00,93,1,86,2020-03-05 14:00:00,42.9995032,125.9816054
Ningxia,China,03/04/2020  22:00,74,0,69,2020-03-05 14:00:00,37.3095528,105.9608553
Gansu,China,03/04/2020  22:00,91,2,87,2020-03-05 14:00:00,38.0000001,101.9999999
Qinghai,China,03/04/2020  22:00,18,0,18,2020-03-05 14:00:00,35.4070952,95.9521157
Tibet,China,03/04/2020  22:00,1,0,1,2020-03-05 14:00:00,31.8943432,87.0781371
,South Korea,03/04/2020  22:00,5766,35,88,2020-03-05 14:00:00,35.8713,128.6018
,Italy,03/04/2020  22:00,3089,107,276,2020-03-05 14:00:00,45.6209,9.768893
,Iran,03/04/2020  22:00,2922,92,552,2020-03-05 14:00:00,32.6475314,54.5643516
Yokohama,Japan,03/04/2020  22:00,706,6,212,2020-03-05 14:00:00,35.444991,139.636768
,Japan,03/04/2020  22:00,331,6,43,2020-03-05 14:00:00,36.5748441,139.2394179
,France,03/04/2020  22:00,285,4,12,2020-03-05 14:00:00,46.603354,1.8883335
,Germany,03/04/2020  22:00,262,0,16,2020-03-05 14:00:00,51.0834196,10.4234469
,Spain,03/04/2020  22:00,228,2,2,2020-03-05 14:00:00,39.3262345,-4.8380649
,Singapore,03/04/2020  22:00,112,0,79,2020-03-05 14:00:00,1.340863,103.8303918
Hong Kong,Hong Kong,03/04/2020  22:00,105,2,43,2020-03-05 14:00:00,22.2793278,114.1628131
,Switzerland,03/04/2020  22:00,93,0,3,2020-03-05 14:00:00,46.7985624,8.2319736
,UK,03/04/2020  22:00,87,0,8,2020-03-05 14:00:00,54.7023545,-3.2765753
,Norway,03/04/2020  22:00,59,0,0,2020-03-05 14:00:00,60.5000209,9.0999715
,Kuwait,03/04/2020  22:00,56,0,0,2020-03-05 14:00:00,29.2733964,47.4979476
,Bahrain,03/04/2020  22:00,52,0,1,2020-03-05 14:00:00,26.1551249,50.5344606
,Sweden,03/04/2020  22:00,52,0,1,2020-03-05 14:00:00,59.6749712,14.5208584
,Malaysia,03/04/2020  22:00,50,0,22,2020-03-05 14:00:00,4.5693754,102.2656823
,Thailand,03/04/2020  22:00,43,1,30,2020-03-05 14:00:00,14.8971921,100.83273
Taiwan,Taiwan,03/04/2020  22:00,42,1,12,2020-03-05 14:00:00,23.9739374,120.9820179
,Netherlands,03/04/2020  22:00,38,0,0,2020-03-05 14:00:00,52.5001698,5.7480821
,Iraq,03/04/2020  22:00,35,1,0,2020-03-05 14:00:00,33.0955793,44.1749775
,Austria,03/04/2020  22:00,29,0,0,2020-03-05 14:00:00,47.2000338,13.199959
,India,03/04/2020  22:00,28,0,3,2020-03-05 14:00:00,22.3511148,78.6677428
,United Arab Emirates,03/04/2020  22:00,28,0,5,2020-03-05 14:00:00,24.0002488,53.9994829
,Iceland,03/04/2020  22:00,26,0,1,2020-03-05 14:00:00,64.9841821,-18.1059013
Brussels,Belgium,03/04/2020  22:00,23,0,1,2020-03-05 14:00:00,50.8436709,4.3674367
,Algeria,03/04/2020  22:00,17,0,0,2020-03-05 14:00:00,28.0000272,2.9999825
,San Marino,03/04/2020  22:00,16,0,0,2020-03-05 14:00:00,43.9458623,12.458306
,Vietnam,03/04/2020  22:00,16,0,16,2020-03-05 14:00:00,13.2904027,108.4265113
,Denmark,03/04/2020  22:00,15,0,0,2020-03-05 14:00:00,55.670249,10.3333283
,Israel,03/04/2020  22:00,15,0,1,2020-03-05 14:00:00,31.5313113,34.8667654
,Lebanon,03/04/2020  22:00,15,0,0,2020-03-05 14:00:00,33.8750629,35.843409
,Oman,03/04/2020  22:00,15,0,2,2020-03-05 14:00:00,21.0000287,57.0036901
Macau,Macau,03/04/2020  22:00,10,0,9,2020-03-05 14:00:00,22.1757605,113.5514142
,Croatia,03/04/2020  22:00,10,0,0,2020-03-05 14:00:00,45.5643442,17.0118954
,Ecuador,03/04/2020  22:00,10,0,0,2020-03-05 14:00:00,-1.3397668,-79.3666965
