Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/27/2020 01:00,65596,2641,23226,,2020-02-27 17:00:00,31.1517252,112.8783222
Guangdong,China,02/27/2020 01:00,1347,7,876,,2020-02-27 17:00:00,23.1357694,113.1982688
Zhejiang,China,02/27/2020 01:00,1205,1,885,,2020-02-27 17:00:00,29.0000001,119.9999999
Shandong,China,02/27/2020 01:00,756,6,382,,2020-02-27 17:00:00,36.0000001,118.9999999
Henan,China,02/27/2020 01:00,1272,20,1062,,2020-02-27 17:00:00,34.0000001,113.9999999
Anhui,China,02/27/2020 01:00,989,6,775,,2020-02-27 17:00:00,32.0,117.0
Jiangxi,China,02/27/2020 01:00,934,1,754,,2020-02-27 17:00:00,28.0,116.0
Hunan,China,02/27/2020 01:00,1017,4,802,,2020-02-27 17:00:00,27.6662087,111.7487063
Heilongjiang,China,02/27/2020 01:00,480,13,263,,2020-02-27 17:00:00,48.0000047,127.999992
Sichuan,China,02/27/2020 01:00,534,3,313,,2020-02-27 17:00:00,30.5000001,102.4999999
Chongqing,China,02/27/2020 01:00,576,6,384,,2020-02-27 17:00:00,29.5585712,106.5492822
Jiangsu,China,02/27/2020 01:00,631,0,494,,2020-02-27 17:00:00,33.0000001,119.9999999
Beijing,China,02/27/2020 01:00,410,5,248,,2020-02-27 17:00:00,39.906217,116.3912757
Guangxi,China,02/27/2020 01:00,252,2,159,,2020-02-27 17:00:00,24.0,109.0
Fujian,China,02/27/2020 01:00,296,1,226,,2020-02-27 17:00:00,26.5450001,117.842778
Shanghai,China,02/27/2020 01:00,337,3,276,,2020-02-27 17:00:00,31.2252985,121.4890497
Hebei,China,02/27/2020 01:00,317,6,264,,2020-02-27 17:00:00,39.0000001,116.0
Shaanxi,China,02/27/2020 01:00,245,1,194,,2020-02-27 17:00:00,36.0,109.0
Yunnan,China,02/27/2020 01:00,174,2,144,,2020-02-27 17:00:00,25.0,102.0
Tianjin,China,02/27/2020 01:00,135,3,96,,2020-02-27 17:00:00,39.1235635,117.1980785
Hainan,China,02/27/2020 01:00,168,5,129,,2020-02-27 17:00:00,19.2000001,109.5999999
