Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
,Denmark,02/29/2020 03:00,2,0,0,2020-02-29 19:00:00,55.670249,10.3333283
,Georgia,02/29/2020 03:00,2,0,0,2020-02-29 19:00:00,41.6809707,44.0287382
,Mexico,02/29/2020 03:00,3,0,0,2020-02-29 19:00:00,19.4326296,-99.1331785
,Netherlands,02/29/2020 03:00,2,0,0,2020-02-29 19:00:00,52.5001698,5.7480821
,Pakistan,02/29/2020 03:00,2,0,0,2020-02-29 19:00:00,30.3308401,71.247499
,Russia,02/29/2020 03:00,2,0,2,2020-02-29 19:00:00,64.6863136,97.7453061
,Afghanistan,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,33.7680065,66.2385139
,Algeria,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,28.0000272,2.9999825
,Azerbaijan,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,40.3936294,47.7872508
,Belarus,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,53.4250605,27.6971358
Brussels,Belgium,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,50.8436709,4.3674367
,Brazil,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,-10.3333333,-53.2
,Cambodia,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,13.5066394,104.869423
,Egypt,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,26.2540493,29.2675469
,Estonia,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,58.7523778,25.3319078
,Iceland,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,64.9841821,-18.1059013
,Lithuania,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,55.3500003,23.7499997
,North Macedonia,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,41.6171214,21.7168387
,Monaco,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,43.7384402,7.4242474
,Nepal,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,28.1083929,84.0917139
,New Zealand,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,-41.5000831,172.8344077
,Nigeria,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,9.6000359,7.9999721
,San Marino,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,43.9458623,12.458306
,Sri Lanka,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,7.5554942,80.7137847
British Columbia,Canada,02/29/2020 03:00,7,0,3,2020-02-29 19:00:00,55.001251,-125.002441
Ontario,Canada,02/29/2020 03:00,7,0,3,2020-02-29 19:00:00,50.000678,-86.000977
Quebec,Canada,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,52.4760892,-71.8258668
Massachusetts,US,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,42.3788774,-72.032366
Illinois,US,02/29/2020 03:00,2,0,2,2020-02-29 19:00:00,40.0796606,-89.4337288
Wisconsin,US,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,44.4308975,-89.6884637
WA,US,02/29/2020 03:00,3,0,1,2020-02-29 19:00:00,47.2868352,-120.2126139
California,US,02/29/2020 03:00,12,0,2,2020-02-29 19:00:00,36.7014631,-118.7559974
Arizona,US,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,34.395342,-111.7632755
Texas,US,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,31.8160381,-99.5120986
Nebraska,US,02/29/2020 03:00,44,0,0,2020-02-29 19:00:00,41.7370229,-99.5873816
Oregon,US,02/29/2020 03:00,1,0,0,2020-02-29 19:00:00,43.9792797,-120.737257
Brisbane,Australia,02/29/2020 03:00,9,0,5,2020-02-29 19:00:00,-27.4689682,153.0234991
Sydney,Australia,02/29/2020 03:00,4,0,4,2020-02-29 19:00:00,-33.8548157,151.2164539
Melbourne,Australia,02/29/2020 03:00,7,0,4,2020-02-29 19:00:00,-37.8142176,144.9631608
Adelaide,Australia,02/29/2020 03:00,3,0,2,2020-02-29 19:00:00,-34.9281805,138.5999312
Perth,Australia,02/29/2020 03:00,2,0,0,2020-02-29 19:00:00,-31.9527121,115.8604796
