Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Rhode Island,US,3/05/2020  05:00,2,0,0
Massachusetts,US,3/05/2020  05:00,2,0,1
New Hampshire,US,3/05/2020  05:00,2,0,0
Illinois,US,3/05/2020  05:00,4,0,2
Wisconsin,US,3/05/2020  05:00,1,0,0
From Diamond Princess cruise,US,3/05/2020  05:00,42,0,0
Queensland,Australia,3/05/2020  05:00,11,0,8
New South Wales,Australia,3/05/2020  05:00,22,1,4
Victoria,Australia,3/05/2020  05:00,10,0,7
South Australia,Australia,3/05/2020  05:00,7,0,2
Western Australia,Australia,3/05/2020  05:00,2,1,0
Tasmania,Australia,3/05/2020  05:00,1,0,0
Northern Territory,Australia,3/05/2020  05:00,1,0,0
