Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/21/2020 16:00,62662,2144,11867,,2020-02-22 08:00:00,31.1517252,112.8783222
Guangdong,China,02/21/2020 16:00,1333,5,690,,2020-02-22 08:00:00,23.1357694,113.1982688
Henan,China,02/21/2020 16:00,1267,19,723,,2020-02-22 08:00:00,34.0000001,113.9999999
Zhejiang,China,02/21/2020 16:00,1203,1,679,,2020-02-22 08:00:00,29.0000001,119.9999999
Hunan,China,02/21/2020 16:00,1011,4,657,,2020-02-22 08:00:00,27.6662087,111.7487063
Anhui,China,02/21/2020 16:00,988,6,539,,2020-02-22 08:00:00,32.0,117.0
Jiangxi,China,02/21/2020 16:00,934,1,489,,2020-02-22 08:00:00,28.0,116.0
Jiangsu,China,02/21/2020 16:00,631,0,368,,2020-02-22 08:00:00,33.0000001,119.9999999
Chongqing,China,02/21/2020 16:00,567,6,299,,2020-02-22 08:00:00,29.5585712,106.5492822
Shandong,China,02/21/2020 16:00,749,4,281,,2020-02-22 08:00:00,36.0000001,118.9999999
Sichuan,China,02/21/2020 16:00,525,3,230,,2020-02-22 08:00:00,30.5000001,102.4999999
Heilongjiang,China,02/21/2020 16:00,479,12,174,,2020-02-22 08:00:00,48.0000047,127.999992
Beijing,China,02/21/2020 16:00,396,4,169,,2020-02-22 08:00:00,39.906217,116.3912757
Shanghai,China,02/21/2020 16:00,334,2,211,,2020-02-22 08:00:00,31.2252985,121.4890497
Hebei,China,02/21/2020 16:00,308,5,183,,2020-02-22 08:00:00,39.0000001,116.0
Fujian,China,02/21/2020 16:00,293,1,138,,2020-02-22 08:00:00,26.5450001,117.842778
Guangxi,China,02/21/2020 16:00,246,2,95,,2020-02-22 08:00:00,24.0,109.0
Shaanxi,China,02/21/2020 16:00,245,1,130,,2020-02-22 08:00:00,36.0,109.0
Yunnan,China,02/21/2020 16:00,174,2,96,,2020-02-22 08:00:00,25.0,102.0
Hainan,China,02/21/2020 16:00,168,4,95,,2020-02-22 08:00:00,19.2000001,109.5999999
Guizhou,China,02/21/2020 16:00,146,2,76,,2020-02-22 08:00:00,27.0,107.0
Shanxi,China,02/21/2020 16:00,132,0,76,,2020-02-22 08:00:00,37.0,112.0
Tianjin,China,02/21/2020 16:00,132,3,59,,2020-02-22 08:00:00,39.1235635,117.1980785
Liaoning,China,02/21/2020 16:00,121,1,61,,2020-02-22 08:00:00,40.9739116,122.3263915
Gansu,China,02/21/2020 16:00,91,2,71,,2020-02-22 08:00:00,38.0000001,101.9999999
Jilin,China,02/21/2020 16:00,91,1,45,,2020-02-22 08:00:00,42.9995032,125.9816054
Xinjiang,China,02/21/2020 16:00,76,1,22,,2020-02-22 08:00:00,41.7574769,87.1673842
Ningxia,China,02/21/2020 16:00,71,0,48,,2020-02-22 08:00:00,37.3095528,105.9608553
Inner Mongolia,China,02/21/2020 16:00,75,0,17,,2020-02-22 08:00:00,43.2443242,114.3251664
