Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/25/2020 22:00,65187,2615,20912,,2020-02-26 14:00:00,31.1517252,112.8783222
Guangdong,China,02/25/2020 22:00,1347,7,841,,2020-02-26 14:00:00,23.1357694,113.1982688
Zhejiang,China,02/25/2020 22:00,1205,1,814,,2020-02-26 14:00:00,29.0000001,119.9999999
Shandong,China,02/25/2020 22:00,756,6,357,,2020-02-26 14:00:00,36.0000001,118.9999999
Henan,China,02/25/2020 22:00,1271,19,1023,,2020-02-26 14:00:00,34.0000001,113.9999999
Anhui,China,02/25/2020 22:00,989,6,727,,2020-02-26 14:00:00,32.0,117.0
Jiangxi,China,02/25/2020 22:00,934,1,719,,2020-02-26 14:00:00,28.0,116.0
Hunan,China,02/25/2020 22:00,1016,4,779,,2020-02-26 14:00:00,27.6662087,111.7487063
Heilongjiang,China,02/25/2020 22:00,480,12,245,,2020-02-26 14:00:00,48.0000047,127.999992
Sichuan,China,02/25/2020 22:00,531,3,292,,2020-02-26 14:00:00,30.5000001,102.4999999
Chongqing,China,02/25/2020 22:00,576,6,372,,2020-02-26 14:00:00,29.5585712,106.5492822
Jiangsu,China,02/25/2020 22:00,631,0,463,,2020-02-26 14:00:00,33.0000001,119.9999999
Beijing,China,02/25/2020 22:00,400,4,235,,2020-02-26 14:00:00,39.906217,116.3912757
Guangxi,China,02/25/2020 22:00,252,2,138,,2020-02-26 14:00:00,24.0,109.0
Fujian,China,02/25/2020 22:00,294,1,205,,2020-02-26 14:00:00,26.5450001,117.842778
Shanghai,China,02/25/2020 22:00,336,3,268,,2020-02-26 14:00:00,31.2252985,121.4890497
Hebei,China,02/25/2020 22:00,312,6,248,,2020-02-26 14:00:00,39.0000001,116.0
Shaanxi,China,02/25/2020 22:00,245,1,186,,2020-02-26 14:00:00,36.0,109.0
Yunnan,China,02/25/2020 22:00,174,2,129,,2020-02-26 14:00:00,25.0,102.0
Tianjin,China,02/25/2020 22:00,135,3,91,,2020-02-26 14:00:00,39.1235635,117.1980785
Hainan,China,02/25/2020 22:00,168,5,124,,2020-02-26 14:00:00,19.2000001,109.5999999
Hong Kong,Hong Kong,02/25/2020 22:00,85,2,18,,2020-02-26 14:00:00,22.2793278,114.1628131
Guizhou,China,02/25/2020 22:00,146,2,104,,2020-02-26 14:00:00,27.0,107.0
Liaoning,China,02/25/2020 22:00,121,1,88,,2020-02-26 14:00:00,40.9739116,122.3263915
Shanxi,China,02/25/2020 22:00,133,0,98,,2020-02-26 14:00:00,37.0,112.0
Inner Mongolia,China,02/25/2020 22:00,75,0,35,,2020-02-26 14:00:00,43.2443242,114.3251664
Xinjiang,China,02/25/2020 22:00,76,2,30,,2020-02-26 14:00:00,41.7574769,87.1673842
Jilin,China,02/25/2020 22:00,93,1,63,,2020-02-26 14:00:00,42.9995032,125.9816054
Ningxia,China,02/25/2020 22:00,71,0,61,,2020-02-26 14:00:00,37.3095528,105.9608553
